frac_self frac_cbd sim week ix cum_infs cum_inf_propn popn
0.1 0.2 0 104 20601 37144.16523202228 0.4052694972561976 91653
0.1 0.2 0 104 20602 20016.23753604498 0.3621471935742972 55271
0.1 0.2 0 104 20603 29924.816730046427 0.4252677637251329 70367
0.1 0.2 0 104 20604 125831.32558869992 0.8499761930053156 148041
0.1 0.2 0 104 20605 81655.50312702457 0.7521069838261802 108569
0.1 0.2 0 104 20606 45440.64198231065 0.6702357294066292 67798
0.1 0.2 0 104 20607 81485.04710943809 0.8647096282598435 94234
0.1 0.2 0 104 20701 82037.56714136753 0.4625456957356326 177361
0.1 0.2 0 104 20702 27733.476905631367 0.29012037393565815 95593
0.1 0.2 0 104 20703 45437.33735026866 0.42363445728228405 107256
0.1 0.2 0 104 20801 32564.299202331007 0.31696758910938616 102737
0.1 0.2 0 104 20802 53738.102600978425 0.34225038914350586 157014
0.1 0.2 0 104 20803 42640.621111187385 0.34802420064304684 122522
0.1 0.2 0 104 20804 22112.99423589587 0.504770686538894 43808
0.1 0.2 0 104 20901 40620.9301625806 0.3181139934262692 127693
0.1 0.2 0 104 20902 35770.61051115116 0.3585990166630024 99751
0.1 0.2 0 104 20903 16732.470995980664 0.24509258819365262 68270
0.1 0.2 0 104 20904 57179.26463433713 0.25460419463061046 224581
0.1 0.2 0 104 21001 20011.004246122196 0.32553039182265414 61472
0.1 0.2 0 104 21002 8204.795648510986 0.26691810561537416 30739
0.1 0.2 0 104 21003 24384.50760758631 0.3063880735243986 79587
0.1 0.2 0 104 21004 10964.670112393582 0.2675745549415194 40978
0.1 0.2 0 104 21005 52937.070168074264 0.3126894325209944 169296
0.1 0.2 0 104 21101 42621.99644657035 0.2652073052825573 160712
0.1 0.2 0 104 21102 6310.595989553811 0.23009538356135822 27426
0.1 0.2 0 104 21103 32549.948656826207 0.2842194531873337 114524
0.1 0.2 0 104 21104 21584.543908475694 0.3393956304302985 63597
0.1 0.2 0 104 21105 32832.909942842045 0.2125176215595459 154495
0.1 0.2 0 104 21201 18502.393383830495 0.18920537257214945 97790
0.1 0.2 0 104 21202 32393.803895179473 0.23555875111933242 137519
0.1 0.2 0 104 21203 34240.37769519334 0.19454538979780536 176002
0.1 0.2 0 104 21204 63375.043827734014 0.32096267885387414 197453
0.1 0.2 0 104 21205 72323.16874065976 0.39125751287901284 184848
0.1 0.2 0 104 21301 58697.36833762206 0.2981711098234365 196858
