frac_self frac_cbd sim week ix cum_infs cum_inf_propn popn
0.1 0.2 0 104 20601 50179.77018759948 0.5474973016442395 91653
0.1 0.2 0 104 20602 27415.87418934963 0.49602638253966147 55271
0.1 0.2 0 104 20603 37855.43008198 0.5379713513718077 70367
0.1 0.2 0 104 20604 39456.035571024244 0.26652100141868973 148041
0.1 0.2 0 104 20605 70792.31572975016 0.652049072292737 108569
0.1 0.2 0 104 20606 37541.081537536935 0.5537196014268405 67798
0.1 0.2 0 104 20607 63969.15733452453 0.6788330892727097 94234
0.1 0.2 0 104 20701 76682.09943958894 0.43235040081860693 177361
0.1 0.2 0 104 20702 46518.57280469862 0.4866315818595359 95593
0.1 0.2 0 104 20703 55799.47835525556 0.5202457518018159 107256
0.1 0.2 0 104 20801 39512.5684024795 0.3845992038163417 102737
0.1 0.2 0 104 20802 67386.68881569893 0.42917630794514455 157014
0.1 0.2 0 104 20803 56059.8518810977 0.4575492718132066 122522
0.1 0.2 0 104 20804 31523.13773230592 0.7195749117126078 43808
0.1 0.2 0 104 20901 56191.76558128222 0.440053609683242 127693
0.1 0.2 0 104 20902 55949.10178241258 0.5608876280178904 99751
0.1 0.2 0 104 20903 25854.85894063281 0.3787147933299079 68270
0.1 0.2 0 104 20904 87288.2827715278 0.3886717165366963 224581
0.1 0.2 0 104 21001 45869.395533906376 0.746183555666098 61472
0.1 0.2 0 104 21002 8260.977875544097 0.2687458237269949 30739
0.1 0.2 0 104 21003 42681.12317097379 0.5362825985521981 79587
0.1 0.2 0 104 21004 14050.63270020184 0.34288234418961006 40978
0.1 0.2 0 104 21005 92961.0180397469 0.549103452176938 169296
0.1 0.2 0 104 21101 74357.22891994636 0.462673782417905 160712
0.1 0.2 0 104 21102 13912.068965180239 0.5072584031641595 27426
0.1 0.2 0 104 21103 54416.04249538155 0.4751496847419017 114524
0.1 0.2 0 104 21104 37377.12585281027 0.5877183806281785 63597
0.1 0.2 0 104 21105 46999.602458191745 0.30421439178091036 154495
0.1 0.2 0 104 21201 27526.844626981983 0.2814893611512627 97790
0.1 0.2 0 104 21202 70470.68622612317 0.5124432713015886 137519
0.1 0.2 0 104 21203 59673.58923423708 0.3390506314373534 176002
0.1 0.2 0 104 21204 110522.06169057949 0.5597385792597707 197453
0.1 0.2 0 104 21205 107110.67305723735 0.579452701988863 184848
0.1 0.2 0 104 21301 101177.78283940518 0.5139632772831441 196858
0.1 0.2 0 104 21302 48748.398201128504 0.5518145185883102 88342
0.1 0.2 0 104 21303 54562.34854345951 0.6246047569510562 87355
0.1 0.2 0 104 21304 57027.29750325221 0.3557691072177338 160293
0.1 0.2 0 104 21305 77639.3546977994 0.3330188759352804 233138
0.1 0.25 0 104 20601 50218.12292378599 0.5479157575178771 91653
0.1 0.25 0 104 20602 27405.675541800603 0.49584186176838857 55271
0.1 0.25 0 104 20603 37874.94367880082 0.5382486631347196 70367
0.1 0.25 0 104 20604 47363.35622836673 0.3199340468408531 148041
0.1 0.25 0 104 20605 70893.38596224689 0.6529800031523445 108569
0.1 0.25 0 104 20606 37583.28865556151 0.5543421436555873 67798
0.1 0.25 0 104 20607 64130.901997849505 0.6805495044023336 94234
0.1 0.25 0 104 20701 76531.26281669275 0.43149995104161987 177361
0.1 0.25 0 104 20702 46479.30145564007 0.48622076360863314 95593
0.1 0.25 0 104 20703 55755.55379104926 0.51983622166638 107256
0.1 0.25 0 104 20801 39432.227494158775 0.38381719822613836 102737
0.1 0.25 0 104 20802 67277.73194394115 0.4284823770105924 157014
0.1 0.25 0 104 20803 56005.68848506331 0.45710720103380054 122522
0.1 0.25 0 104 20804 31539.977572459036 0.7199593127387471 43808
0.1 0.25 0 104 20901 56122.629967564964 0.4395121891377363 127693
0.1 0.25 0 104 20902 55932.00733636748 0.5607162568432145 99751
0.1 0.25 0 104 20903 25823.17318840509 0.37825066923106915 68270
0.1 0.25 0 104 20904 87160.44730577062 0.3881024989013791 224581
0.1 0.25 0 104 21001 45882.40511238764 0.7463951898813711 61472
0.1 0.25 0 104 21002 8219.240760402336 0.26738803345594636 30739
0.1 0.25 0 104 21003 42665.25828823169 0.5360832584245127 79587
0.1 0.25 0 104 21004 14017.95697662604 0.34208494745048657 40978
