"year" "SA3" "ratio" "median_ratio"
2014 21202 1.577317948914 1.49965335473558
2013 21202 1.49965335473558 1.49965335473558
2010 21202 1.89311840870684 1.49965335473558
2011 21202 1.58056167176805 1.49965335473558
2012 21202 1.37173942597424 1.49965335473558
2016 21203 1.09706598903625 0.970774200971426
2014 21203 1.06251221110083 0.970774200971426
2013 21203 0.896194020473837 0.970774200971426
2012 21203 0.930573725740731 0.970774200971426
2015 21203 0.996304972127082 0.970774200971426
2010 21203 0.831458497951989 0.970774200971426
2011 21203 0.970774200971426 0.970774200971426
2015 21204 0.898942846054745 0.954934396037702
2016 21204 0.938175573145515 0.954934396037702
2011 21204 0.993095144846352 0.954934396037702
2014 21204 0.954934396037702 0.954934396037702
2013 21204 1.17072114698173 0.954934396037702
2012 21204 0.72415786971954 0.954934396037702
2010 21204 1.11238422565156 0.954934396037702
2012 21205 1.29654919596746 1.03023454848509
2010 21205 1.03023454848509 1.03023454848509
2015 21205 0.887962879485395 1.03023454848509
2014 21205 0.981064181251423 1.03023454848509
2016 21205 1.13525574957174 1.03023454848509
2013 21205 1.00649109383267 1.03023454848509
2011 21205 1.23988604878466 1.03023454848509
2013 21301 0.580673836858291 0.608110233890003
2016 21301 0.534901351289399 0.608110233890003
2010 21301 0.441553128716475 0.608110233890003
2014 21301 0.784755412825637 0.608110233890003
2012 21301 0.651536877538241 0.608110233890003
2011 21301 0.840202080294817 0.608110233890003
2015 21301 0.608110233890003 0.608110233890003
2012 21302 1.02847015749222 1.10065601699758
2014 21302 1.4302265596966 1.10065601699758
2016 21302 1.07571559008825 1.10065601699758
2013 21302 1.10065601699758 1.10065601699758
2010 21302 1.44698351337299 1.10065601699758
2015 21302 0.655333576951016 1.10065601699758
2011 21302 1.57966088882346 1.10065601699758
2016 21303 0.936914982394903 1.03018854975915
2015 21303 0.912841993632169 1.03018854975915
2014 21303 1.03018854975915 1.03018854975915
2013 21303 1.29098563179988 1.03018854975915
2012 21303 1.12556754637486 1.03018854975915
2011 21303 1.69810180599978 1.03018854975915
2010 21303 0.599617229117831 1.03018854975915
2016 21304 0.76365362564425 0.64242410578708
2015 21304 0.49827688052574 0.64242410578708
2014 21304 0.753165148877026 0.64242410578708
2013 21304 0.493090508596663 0.64242410578708
2012 21304 0.774010710597462 0.64242410578708
2011 21304 0.64242410578708 0.64242410578708
2010 21304 0.423280259177099 0.64242410578708
2015 21305 0.60977921496727 0.605231472724015
2014 21305 0.880923511801136 0.605231472724015
2016 21305 0.605231472724015 0.605231472724015
2011 21305 0.524116006311158 0.605231472724015
2010 21305 0.513779944768873 0.605231472724015
2013 21305 0.693101672264447 0.605231472724015
2012 21305 0.448823118532156 0.605231472724015
