"long" "lat" "order" "hole" "piece" "id" "group" "SA4"
5917.3693399 2143.50330746 10386 FALSE "1" "207" "207.1" "207"
5006.40041583 467.8445035 10387 FALSE "1" "207" "207.1" "207"
5665.96326033 352.65892734 10388 FALSE "1" "207" "207.1" "207"
6091.75687952 -1335.88775695 10389 FALSE "1" "207" "207.1" "207"
-430.26591535 -371.79161623 10390 FALSE "1" "207" "207.1" "207"
4936.37273171 -24131.44941514 10391 FALSE "1" "208" "208.1" "208"
4269.50622123 -25908.69956119 10392 FALSE "1" "208" "208.1" "208"
1999.11544563 -26084.27030795 10393 FALSE "1" "208" "208.1" "208"
1742.27836265 -24836.69371799 10394 FALSE "1" "208" "208.1" "208"
2247.35187411 -24603.234121 10395 FALSE "1" "208" "208.1" "208"
1718.76711452 -24776.55107792 10396 FALSE "1" "208" "208.1" "208"
1407.93948015 -23326.26327803 10397 FALSE "1" "208" "208.1" "208"
-824.65660404 -18308.9364674 10398 FALSE "1" "208" "208.1" "208"
-4243.84583447 -15187.41112437 10399 FALSE "1" "208" "208.1" "208"
-5453.29602833 -16256.68344076 10400 FALSE "1" "208" "208.1" "208"
-7208.91086398 -14632.73842411 10401 FALSE "1" "208" "208.1" "208"
-9394.22099926 -10456.60316898 10402 FALSE "1" "208" "208.1" "208"
-8861.20727969 -10049.9108767 10403 FALSE "1" "208" "208.1" "208"
-10064.5931368 -8468.14635263 10404 FALSE "1" "208" "208.1" "208"
-9994.28755138 -7450.5497673 10405 FALSE "1" "208" "208.1" "208"
-10116.55025579 -4557.27288755 10406 FALSE "1" "208" "208.1" "208"
-9060.18841173 -3758.16380863 10407 FALSE "1" "208" "208.1" "208"
-8796.00871134 -1831.12323361 10408 FALSE "1" "208" "208.1" "208"
-7992.51856219 -1956.96135381 10409 FALSE "1" "208" "208.1" "208"
-7873.99937751 -1138.7107003 10410 FALSE "1" "208" "208.1" "208"
-6363.16590111 -1813.87810057 10411 FALSE "1" "208" "208.1" "208"
-5925.46264331 1400.48258765 10412 FALSE "1" "208" "208.1" "208"
-3543.8967071 -524.27732859 10413 FALSE "1" "208" "208.1" "208"
-2713.11144968 -2705.19676238 10414 FALSE "1" "208" "208.1" "208"
-689.65634577 -2428.89216018 10415 FALSE "1" "208" "208.1" "208"
-1035.63064196 -4770.19365526 10416 FALSE "1" "208" "208.1" "208"
-1540.7660072 -8213.49695358 10417 FALSE "1" "208" "208.1" "208"
-1799.13927262 -9851.18177522 10418 FALSE "1" "208" "208.1" "208"
1080.69294257 -11928.47458532 10419 FALSE "1" "208" "208.1" "208"
