SA1_CODE_2021,Popn
10104102732,350
10104102733,377
10105153901,216
10105153902,253
10105153903,211
10105153904,472
10105153905,315
10105153906,314
10105153907,66
10105153909,277
10105153910,175
10105153911,473
10105153912,513
10105153913,227
10105153914,395
10105153915,277
10105153916,612
10105153917,313
10105153918,320
10105153919,486
10105153920,826
10105153921,398
10105153922,583
10105153923,369
10105153924,437
10105153925,450
10105153926,439
10105153927,231
10105153928,103
10105153929,551
10105153930,391
10105153931,381
10105153932,435
10105153933,276
10105153934,269
10105153935,505
10105153936,305
10105153937,508
10105153938,290
10105153939,349
10105153940,208
10105153941,213
10105153942,550
10105153943,397
10105153944,524
10105153945,745
10105153946,363
10105153947,323
10105153948,206
10105153949,108
10105153950,419
10105153951,357
10105153952,320
10105153953,332
10105153954,384
10105153955,281
10105153956,369
10105153957,466
10105153958,18
10105153959,355
10105153960,264
10105153961,271
10105153962,413
10105153963,199
10105153964,437
10105153965,0
10105153966,878
10105153967,105
10105153968,207
10105153969,389
10105153970,366
10105154001,816
10105154002,412
10105154003,349
10105154004,694
10105154005,415
10105154006,506
10105154007,338
10105154008,352
10105154009,203
10105154010,485
10105154011,309
10105154012,465
10105154014,361
10105154015,345
10105154016,595
10105154017,414
10105154018,301
10105154019,312
10105154020,551
10105154021,578
10105154022,297
10105154023,512
10105154024,379
10105154025,262
10105154026,291
10105154027,341
10105154028,335
10105154029,484
10105154030,289
10105154031,571
10105154032,278
10105154033,412
10105154034,256
10105154035,251
10106154101,767
10106154102,492
10106154103,722
10106154104,262
10106154105,448
10106154106,542
10106154107,579
10106154108,270
10106154109,423
10106154111,593
10106154112,482
10106154113,385
10106154115,511
10106154116,0
10106154117,144
10106154118,153
10106154201,294
10106154202,209
10106154203,246
10106154204,338
10106154206,229
10106154207,303
10106154208,409
10106154209,311
10106154210,406
10106154211,326
10106154212,294
10106154213,502
10106154215,0
10106154216,411
10106154217,721
10106154219,300
10106154220,305
10106154222,300
10106154223,459
10106154224,273
10106154226,313
10106154227,275
10106154228,514
10106154229,122
10106154231,342
10106154232,252
10106154233,360
10106154234,349
10106154235,340
10106154236,196
10106154237,288
10106154238,303
10106154239,454
10106154240,680
10106154241,500
10106154242,301
10106154243,462
10106154301,611
10106154302,323
10106154303,432
10106154304,338
10106154305,378
10106154306,557
10106154307,141
10106154308,507
10106154309,364
10106154310,221
10106154311,240
10106154312,301
10106154313,468
10106154314,447
10106154315,435
10106154316,600
10106154317,238
10106154318,338
10106154319,278
10106154320,95
10106154321,437
10106154322,539
10106154323,258
10106154324,241
10106154325,479
10106154326,409
10106154327,261
10106154328,448
10106154329,215
10106154330,359
10106154401,156
10106154402,319
10106154403,331
10106154404,414
10106154405,348
10106154406,253
10106154408,379
10106154409,340
10106154410,387
10106154411,472
10106154412,331
10106154413,275
10106154414,361
10106154415,386
10106154416,259
10106154417,673
10106154418,480
10106154419,387
10106154420,264
10106154421,393
10106154422,52
10106154423,441
10201102801,0
10201102802,609
10201102803,629
10201102804,235
10201102805,298
10201102806,545
10201102807,471
10201102808,398
10201102809,642
10201102810,484
10201102811,428
10201102812,448
10201102813,355
10201102814,448
10201102815,366
10201102816,275
10201102817,427
10201102818,438
10201102901,344
10201102902,339
10201102903,444
10201102904,544
10201102905,409
10201102906,240
10201102907,298
10201102908,386
10201102909,397
10201102910,578
10201102911,528
10201102912,481
10201102913,344
10201102914,296
10201102915,507
10201102916,375
10201102917,303
10201102918,362
10201102919,385
10201102920,4
10201102921,0
10201102922,520
10201102923,374
10201102924,483
10201102925,533
10201102926,317
10201102927,551
10201102928,721
10201103002,606
10201103003,221
10201103004,297
10201103005,251
10201103006,351
10201103007,387
10201103008,207
10201103009,427
10201103010,472
10201103011,555
10201103012,440
10201103013,11
10201103014,449
10201103101,350
10201103102,366
10201103103,473
10201103104,510
10201103105,449
10201103106,279
10201103107,33
10201103108,255
10201103109,254
10201103110,438
10201103111,408
10201103112,178
10201103113,446
10201103114,488
10201103115,557
10201103116,508
10201103117,378
10201103118,418
10201103119,446
10201103120,398
10201103121,280
10201103122,424
10201103123,399
10201103124,346
10201103125,244
10201103126,494
10201103127,383
10201103128,476
10201103129,587
10201103130,329
10201103131,668
10201103132,12
10201103133,385
10201103134,437
10201103135,426
10201103136,381
10201103137,346
10201103138,527
10201103201,414
10201103202,502
10201103203,744
10201103204,830
10201103205,316
10201103206,59
10201103207,467
10201103208,676
10201103210,221
10201103211,555
10201103212,517
10201103213,103
10201103214,623
10201103215,232
10201103216,322
10201103217,193
10201103218,429
10201103219,357
10201103220,368
10201103221,298
10201103223,5
10201103224,729
10201103225,220
10201103226,268
10201103227,587
10201103228,790
10201103229,416
10201103230,530
10201103231,512
10201103232,468
10201103233,330
10201103234,787
10201103235,373
10201103236,524
10201103237,922
10201103238,341
10201103239,607
10201103240,396
10201103241,540
10201103242,654
10201103243,508
10201103244,626
10201103245,536
10201103246,356
10201103247,525
10201103248,406
10201103301,205
10201103302,544
10201103303,389
10201103304,358
10201103305,339
10201103306,300
10201103307,205
10201103308,400
10201103309,78
10201103310,369
10201103311,389
10201103312,317
10201103313,303
10201103314,357
10201103315,787
10201103316,0
10201103317,562
10201103318,194
10201103319,410
10201103320,4
10201103401,383
10201103402,336
10201103403,613
10201103404,267
10201103405,429
10201103406,156
10201103408,331
10201103409,347
10201103410,425
10201103411,477
10201103412,531
10201103413,398
10201103414,459
10201103415,241
10201103416,473
10201103417,376
10201103418,691
10201103419,344
10201103420,313
10201103501,798
10201103502,330
10201103503,513
10201103504,461
10201103505,427
10201103506,567
10201103507,314
10201103508,569
10201103509,397
10201103510,473
10201103511,593
10201103512,298
10201103513,341
10201103514,406
10201103515,285
