"long" "lat" "order" "hole" "piece" "id" "group" "ogc_fid" "sa3_code11" "sa3_name11" "sa4_code11" "sa4_name11" "gcc_code11" "gcc_name11" "ste_code11" "ste_name11" "albers_sqm" "SA3_CODE"
-14353.25586381 8004.05195711 3793 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-12312.92301036 7977.38474003 3794 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-12440.93858428 6663.60318736 3795 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-10946.81686289 6314.10815293 3796 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-11167.20069988 4662.69121029 3797 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-9567.50726521 4463.99937826 3798 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-9866.130846 2255.89424124 3799 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-689.65634577 -2428.89216018 4146 FALSE "1" "120" "120.1" "92" "20804" "Stonnington - East" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 13724692.3879034 20804
-1035.63064196 -4770.19365526 4147 FALSE "1" "120" "120.1" "92" "20804" "Stonnington - East" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 13724692.3879034 20804
-4235.56088071 -3641.22926039 4148 FALSE "1" "120" "120.1" "92" "20804" "Stonnington - East" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 13724692.3879034 20804
