"long" "lat" "order" "hole" "piece" "id" "group" "ogc_fid" "state_code" "state_name" "country_co" "STE_CODE"
106097.99522986 -117662.28346995 49859 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
108708.87736418 -113771.93646588 49860 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
112263.99781447 -111852.73054713 49861 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
114140.61159508 -112055.51506526 49862 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
114727.60028275 -106703.888612 49863 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
116036.04485874 -105846.19525991 49864 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
116264.73624434 -103962.92172554 49865 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
118789.94374302 -104221.63540379 49866 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
119778.03675182 -105442.94008345 49867 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
118709.13966558 -114229.18175281 49868 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
120131.2971366 -115597.5863508 49869 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
119781.44573219 -116504.09892641 49870 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
120367.53087859 -116832.67703106 49871 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
120503.70634924 -118633.15594168 49872 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
119174.99714975 -119255.01703628 49873 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
117118.82673284 -122733.95761471 49874 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
115775.56059691 -126397.59040669 49875 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
116568.57733728 -128928.46129931 49876 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
115349.48883359 -129717.77856659 49877 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
115804.23203056 -130839.02306304 49878 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
119104.63161545 -131404.85487365 49879 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
118112.57935341 -131752.5173087 49880 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
118686.36179475 -132514.72355152 49881 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
117790.9743322 -132634.22151474 49882 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
119276.43924906 -133417.26768577 49883 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
118974.77493545 -134653.7127465 49884 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
119734.04657236 -135341.20358073 49885 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
119414.40113977 -135981.11511928 49886 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
117316.63227321 -134537.3163512 49887 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
115205.83295475 -135773.28506779 49888 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
114672.17983176 -137766.71164769 49889 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
116073.46241338 -138476.31854043 49890 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
115459.98510528 -140463.15864269 49891 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
114767.79934412 -140514.21095604 49892 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
115180.3889298 -141246.94647227 49893 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
114516.70643469 -141234.69736079 49894 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
114702.35008076 -142923.89554233 49895 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
113802.0132862 -142414.9771218 49896 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
111499.59141976 -143318.88569932 49897 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
111364.91301615 -142332.21551637 49898 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
110199.85569788 -143607.2658429 49899 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
107731.73598376 -142314.10526049 49900 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
107472.51917444 -140668.86706989 49901 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105679.97144408 -138122.43002755 49902 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105693.53121127 -137022.59889109 49903 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
107359.57890997 -136931.00234113 49904 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
107584.30357048 -135161.22471239 49905 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
108110.48023905 -135136.33814788 49906 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
108186.11622478 -134999.90205404 49907 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
108314.49658872 -135044.53106835 49908 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
108397.45924186 -134935.84858709 49909 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105343.36580059 -134161.29051381 49910 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
106175.47162886 -132935.76488137 49911 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105121.58140931 -131888.6023391 49912 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105608.60303169 -131524.90999256 49913 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105816.40002017 -131568.11200572 49914 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105917.12580535 -131446.54250473 49915 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105995.37368881 -131516.97776124 49916 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
106099.18169364 -131500.60782658 49917 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
106163.23509213 -131438.95118363 49918 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
106280.86829692 -131502.16534695 49919 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
106338.13318196 -131501.04819866 49920 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
106387.86854669 -131461.08008861 49921 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
106165.41600442 -131424.99101173 49922 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
106038.85872671 -131490.6911107 49923 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105915.25424963 -131418.76627152 49924 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
105357.64610832 -131561.41465683 49925 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
104303.51776766 -132715.88751789 49926 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
104181.10848108 -130949.48428813 49927 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
102523.85995352 -131085.10643076 49928 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
103228.02348979 -129787.46820732 49929 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
